Id,Label,name,popularity,genres,modularity_class,genres_mapped
2R21vXR83lH98kGeO99Y66,Anuel AA,Anuel AA,89,reggaeton;trap latino;urbano latino;latin,3,reggaeton;trap
4SsVbpTthjScTS7U2hmr1X,Arcángel,Arcángel,86,reggaeton;trap latino;urbano latino,0,reggaeton;trap
4q3ewBCX7sLwd24euuV69X,Bad Bunny,Bad Bunny,98,reggaeton;trap latino;urbano latino;latin,4,reggaeton;trap
2C6i0I5RiGzDKN9IAF8reh,Banda MS de Sergio Lizárraga,Banda MS de Sergio Lizárraga,81,banda;norteño;grupera;música mexicana;ranchera;corrido,12,banda;corridos
0v7JYEoQOQbzNNESKwxmzT,Banda Tierra Sagrada,Banda Tierra Sagrada,62,banda;corrido,12,banda;corridos
5QS9NAK4AgJPTcRe472pZA,Bb trickz,Bb trickz,62,,8,
4obzFoKoKRHIphyHzJ35G3,Becky G,Becky G,77,reggaeton;latin,6,reggaeton;latin
0cr0zp1CI5bVOrXaVzfpUI,bic,bic,33,,14,
716NhGYqD1jl2wI1Qkgq36,Bizarrap,Bizarrap,81,argentine trap;trap latino;urbano latino,1,trap
6w3SkAHYPsQ1bxV7VDlG5y,Cazzu,Cazzu,76,argentine trap;trap latino;turreo,1,trap;rkt
1Yj5Xey7kTwvZla8sqdsdE,Cris MJ,Cris MJ,83,reggaeton chileno;chilean trap;chilean mambo;reggaeton,12,reggaeton;trap
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,Daddy Yankee,89,reggaeton;latin,4,reggaeton;latin
1bAftSH8umNcGZ0uyV7LMg,Duki,Duki,81,argentine trap;trap;trap latino,1,trap
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,Eladio Carrion,81,trap latino;urbano latino,1,trap
0AqlFI0tz2DsEoJlKSIiT9,Emilia,Emilia,76,argentine trap,1,trap
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,Eslabon Armado,78,corridos tumbados;sad sierreño;corrido;sierreño;música mexicana;corridos bélicos,2,corridos;banda
2LRoIwlKmHjgvigdNGBHNo,Feid,Feid,88,reggaeton;urbano latino,4,reggaeton;trap
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,Fuerza Regida,92,corrido;corridos tumbados;corridos bélicos;música mexicana;sierreño;banda;sad sierreño;electro corridos,2,corridos;banda
6Sbl0NT50roqWvy746MfVf,Gabito Ballesteros,Gabito Ballesteros,82,corrido;corridos tumbados;corridos bélicos;música mexicana;sad sierreño;electro corridos;sierreño;banda,2,corridos;banda
1dKdetem2xEmjgvyymzytS,Grupo Firme,Grupo Firme,83,banda;corrido;norteño;sierreño;grupera;ranchera;música mexicana,12,banda;corridos
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,Grupo Frontera,86,cumbia norteña;banda;norteño;música mexicana;corrido;corridos tumbados;grupera;tejano;ranchera,2,banda;corridos
7Gi6gjaWy3DxyilpF1a8Is,Junior H,Junior H,90,corridos tumbados;corrido;corridos bélicos;sad sierreño;sierreño;música mexicana;banda,2,corridos;banda
790FomKkXshlbRYZFtlgla,KAROL G,KAROL G,89,reggaeton;latin;urbano latino,4,reggaeton;latin
4m6ubhNsdwF4psNf3R8kwR,KHEA,KHEA,74,argentine trap;trap;trap latino,1,trap
49EE6lVLgU8sp7dFgPshgM,La Adictiva,La Adictiva,72,banda;norteño;grupera,12,banda
5bSfBBCxY8QAk4Pifveisz,La Arrolladora Banda El Limón De Rene Camacho,La Arrolladora Banda El Limón De Rene Camacho,83,banda;norteño;grupera,12,banda
4IRXvbsbSP4oHm4adUdQlt,Laura sad,Laura sad,34,,7,
4UqfXEVibVEPfoopm7Pduc,Los 2 de la S,Los 2 de la S,57,banda;sierreño;norteño,12,banda;corridos
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,Luis R Conriquez,83,corrido;corridos bélicos;corridos tumbados;electro corridos;dembow belico;banda;sierreño;sad sierreño;música mexicana,2,corridos;dembow
19HM5j0ULGSmEoRcrSe5x3,Milo j,Milo j,85,argentine trap,1,trap
0Q8NcsJwoCbZOHHW63su5S,Mora,Mora,83,urbano latino;trap latino;reggaeton,4,trap;reggaeton
7iK8PXO48WeuP03g8YR51W,Myke Towers,Myke Towers,87,reggaeton;trap latino;urbano latino,0,reggaeton;trap
0elWFr7TW8piilVRYJUe4P,Natanael Cano,Natanael Cano,86,corridos tumbados;corrido;corridos bélicos;sierreño;sad sierreño;electro corridos;música mexicana;banda,2,corridos;banda
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,Nicki Nicole,75,argentine trap,1,trap
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,Oscar Maydon,84,corrido;corridos tumbados;corridos bélicos;electro corridos;dembow belico;sad sierreño;sierreño,2,corridos;dembow
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,Ozuna,89,reggaeton;trap latino;latin;urbano latino,3,reggaeton;trap
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,Paulo Londra,77,argentine trap;trap latino;reggaeton,1,trap;reggaeton
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,Peso Pluma,89,corrido;corridos tumbados;corridos bélicos;música mexicana;sad sierreño;banda,2,corridos;banda
52iwsT98xCoGgiGntTiR7K,Quevedo,Quevedo,84,,4,
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,Rauw Alejandro,90,reggaeton;urbano latino;trap latino;latin,9,reggaeton;trap
04mTej6RpWzBxGwhfThpIi,Rojuu,Rojuu,62,hyperpop,8,hyperpop
3QchzUOTSCKWmaRGEEiuir,Saramalacara,Saramalacara,58,hyperpop;argentine trap,8,hyperpop;trap
77ziqFxp5gaInVrF2lj4ht,Sech,Sech,80,reggaeton;urbano latino,4,reggaeton;trap
0GM7qgcRCORpGnfcN2tCiB,Tainy,Tainy,80,reggaeton,4,reggaeton
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,Tito Double P,86,corrido;corridos tumbados;corridos bélicos;electro corridos;dembow belico;música mexicana,2,corridos;dembow
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,Yandel,79,reggaeton;urbano latino;latin,4,reggaeton;trap
3qsKSpcV3ncke3hw52JSMB,Young Miko,Young Miko,78,trap latino,10,trap
4aSlfXDn9R60UlbZEboBUy,YOVNGCHIMI,YOVNGCHIMI,70,trap latino;urbano latino,3,trap
1KUm2LsC3HnPKHvIoo4cKu,Ysrael Barajas,Ysrael Barajas,63,electro corridos;corrido;corridos tumbados;corridos bélicos;dembow belico;sad sierreño,5,corridos;dembow
12vb80Km0Ew53ABfJOepVz,Ñengo Flow,Ñengo Flow,83,reggaeton;trap latino,0,reggaeton;trap
12lHTAdc9T204lw5qPtasv,Foreign Teck,Foreign Teck,57,trap latino,3,trap
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,Blessd,85,reggaeton;urbano latino,4,reggaeton;trap
5VdG4Pm8hryqK7jAkdFlIo,Cheo Gallego,Cheo Gallego,49,,10,
1GDbiv3spRmZ1XdM1jQbT7,NATTI NATASHA,NATTI NATASHA,73,reggaeton;latin;urbano latino;bachata,0,reggaeton;latin
5rHC8VSODpT9V7a8ZQu1h6,ORO600,ORO600,51,argentine trap,1,trap
0vd9wwMIQeKaNQsaHUbcl2,Arsenal De Guerra,Arsenal De Guerra,18,corrido;corridos bélicos,2,corridos
2YTyoyU90b3CF5x91YjVaQ,Playero,Playero,56,reggaeton,9,reggaeton
1lpOgw56wZLDa8gaP6bSIs,Fast & Furious: The Fast Saga,Fast & Furious: The Fast Saga,61,phonk;drift phonk,0,phonk
6LOvxDn71T0wWhCDNcXcUj,Banda Carnaval,Banda Carnaval,63,banda;norteño,12,banda
55Aa2cqylxrFIXC767Z865,Lil Wayne,Lil Wayne,88,rap;hip hop,3,hip hop
029uS2pMvwk0TsIUTHkyyw,Amaro,Amaro,55,reggaeton,0,reggaeton
4kYSro6naA4h99UJvo89HB,Cardi B,Cardi B,82,,3,
7lCRuW6BSXGAsxuQV9lR0i,Gigolo Y La Exce,Gigolo Y La Exce,64,trap latino;reggaeton,0,trap;reggaeton
6RPeBghYnSwGV6FOw7huuN,Esteban Gabriel,Esteban Gabriel,56,corridos tumbados;corrido;sad sierreño;sierreño;música mexicana,2,corridos;banda
3BQAQ5pSX01pjomONRW4ty,Wise,Wise,44,reggaeton,0,reggaeton
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,Ovy On The Drums,84,reggaeton,4,reggaeton
4QFG9KrGWEbr6hNA58CAqE,Alemán,Alemán,79,mexican hip hop;latin hip hop;electro corridos,2,trap;corridos
5gpZDWWbuzTAEzPAGHcSqY,Santino Villarruel,Santino Villarruel,34,,1,
74NBPbyyftqJ4SpDZ4c1Ed,Tom Morello,Tom Morello,66,,10,
7H4WTvvOCWtAuj3gMoldrt,Fido,Fido,24,,4,
2lcWprkQW6ehqKep82rWnC,Moffa,Moffa,41,urbano latino,4,trap
2ydZrTy8U3kOMOzx20s3dg,DJ Nelson,DJ Nelson,70,reggaeton,0,reggaeton
5xp0m6dRz284in9nArK60v,Octubre Doce,Octubre Doce,40,,12,
0x5lhIYknBUEozHuXjkwUs,Galee Galee,Galee Galee,56,chilean trap;reggaeton chileno;chilean mambo;mambo,12,trap;reggaeton
2TzPi0fPdqVesjZ3Y2wY43,Orslok,Orslok,45,hyperpop,8,hyperpop
7AUgYiThuW80zSOwY7Ub2g,El Mimoso Luis Antonio López,El Mimoso Luis Antonio López,67,banda;norteño;grupera,12,banda
66ihevNkSYNzRAl44dx6jJ,Carín León,Carín León,85,banda;norteño;sierreño;corrido;ranchera;grupera;sad sierreño,2,banda;corridos
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,Nicky Jam,83,reggaeton;latin,4,reggaeton;latin
2KtMll7bpqySnZhr8wriRE,CDobleta,CDobleta,63,trap latino,3,trap
3KdCAZSWpRrPO0GTPnzsYV,KARBeats,KARBeats,60,,0,
7MNP6nVHIDvPCRvfCeAJpF,Pressure 9X19,Pressure 9X19,59,trap latino,3,trap
4WzBqbc7fxl2y8XrznMSqf,Candelita,Candelita,37,,12,
3aWnyANApsrS1yIpPu873P,Los Pikadientes De Caborca,Los Pikadientes De Caborca,42,cumbia norteña;cumbia;norteño;sierreño;música mexicana,2,banda;cumbia
09Hzsy5bgnADJzIVlYUoQ3,Los Minis de Caborca,Los Minis de Caborca,51,corrido;corridos bélicos;sierreño;corridos tumbados,2,corridos
329e4yvIujISKGKz1BZZbO,Farruko,Farruko,85,reggaeton;trap latino,0,reggaeton;trap
3dC19P4w1BbDuwCailjybv,Nes,Nes,66,reggaeton chileno;chilean trap;reggaeton mexa;chilean mambo,12,reggaeton;trap
1IxZyCzEKTCm8z7gSgyfTU,fish narc,fish narc,40,emo rap;cloud rap,8,
6dLuQ5qXxIuWc5urxfIiZR,Calle 24,Calle 24,79,corrido;corridos tumbados;corridos bélicos;electro corridos;sad sierreño,2,corridos
2eqoJbzUGDwys5ENUkbT3h,J.I the Prince of N.Y,J.I the Prince of N.Y,60,,0,
0dUyjgCyjfj5eMx6bX2TWf,FMK,FMK,66,argentine trap,1,trap
37BIBvfliXJpSgn10yQUJM,Mr. Naisgai,Mr. Naisgai,57,reggaeton,0,reggaeton
0IoWUuXfqpkfpxBRzthHU4,Codiciado,Codiciado,67,corrido;corridos bélicos;corridos tumbados;banda,2,corridos;banda
6j3TVnrOKJQYWcX5YKLMkV,Ela Conem,Ela Conem,23,,7,
31VFEohvhOUKrtAONEBhMG,Kenia Os,Kenia Os,71,reggaeton mexa,2,reggaeton
34Y0ldeyUv7jBvukWOGASO,Bobby Shmurda,Bobby Shmurda,58,,4,
3nuuzbcB3ZdqrEQYqR2SQJ,Lui-G 21+,Lui-G 21+,42,reggaeton,0,reggaeton
5CiGnKThu5ctn9pBxv7DGa,benny blanco,benny blanco,75,,0,
4Enz9bGPvgSkKRLyLeQL43,Magicenelbeat,Magicenelbeat,48,reggaeton chileno;chilean trap;chilean mambo,12,reggaeton;trap
7C69hD7HaCYbhgrVqYiHXU,Natalie López,Natalie López,11,sad sierreño;corridos tumbados;corrido;sierreño,2,corridos
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,Romeo Santos,87,bachata;latin,4,bachata;latin
7bawudKqKlcw3ZwLpI5FWu,Producto Sin Corte,Producto Sin Corte,39,trap latino,3,trap
12m4a5ljGoe6yyYPpVi7Hr,E.VAX,E.VAX,49,,4,
5U0j7qddH2BMJDF3NOXS96,DJ Ricky,DJ Ricky,20,salsa choke;merengue,0,merengue
5QcHBpoxrY7vx3ulMKEvTS,Chiquis,Chiquis,45,latin country;música mexicana;banda,6,banda
1GKIlPFdcewHtpDVCQ8zmJ,Brray,Brray,72,reggaeton;urbano latino,0,reggaeton;trap
01rgao9OzfBm2BOHWJpi1Y,Espinoza Paz,Espinoza Paz,69,banda;ranchera;popular colombian music;norteño;grupera;mariachi,12,banda
0aULg7LximLNhI6lLzxcXI,RØZ,RØZ,66,electro corridos,2,corridos
0v4ZR80GST5lTyY4b6UEzR,DRED BEY,DRED BEY,38,,8,
1TtXnWcUs0FCkaZDPGYHdf,Darell,Darell,77,reggaeton;trap latino;dembow;urbano latino,3,reggaeton;trap
0ocHleb3SllGNQQcDH35Xz,Herencia De Grandes,Herencia De Grandes,78,corrido;corridos bélicos,2,corridos
6goQbtqjPhPns8RVRXTyp7,Mda,Mda,52,hyperpop,8,hyperpop
3IYKcXI1sFqT1ZtfyoW55C,Knak,Knak,52,argentine trap,1,trap
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,Demi Lovato,79,,12,
035LjRuKfMDQ2Xtlb4gqB6,Adal,Adal,37,corridos tumbados;corrido;corridos bélicos,2,corridos
7gR53ad9JjCweCv4f9MWEX,Eddy Lover,Eddy Lover,67,reggaeton,4,reggaeton
2FzRIRtYVDBIJBvTqh7xzQ,Xiyo,Xiyo,64,neoperreo,3,experimental
4EcIU574ksr6mC1GMEOe0p,Midel,Midel,50,argentine trap;trap,1,trap
5TcnuUD5MHBfd1cO4kweWD,Alex Favela,Alex Favela,60,electro corridos;dembow belico;corrido;corridos tumbados;corridos bélicos,5,corridos;dembow
2PxnKk0fTNgMzm5pY6tINL,Yaisel LM,Yaisel LM,51,dembow,3,dembow
4y4uRSNiwurNnkWn9I0z7R,Plan de Escape,Plan de Escape,45,electro corridos;corrido;dembow belico;sierreño,12,corridos;dembow
33mpx3IrKw93IM1C8tVSQi,Lisan Beat,Lisan Beat,46,argentine trap,1,trap
1XtR9vPQD6cjmHlR5PuHPu,Kevin AMF,Kevin AMF,70,electro corridos;dembow belico;corrido;corridos tumbados;reggaeton mexa;dembow;corridos bélicos,8,corridos;dembow
30CTTIqrcr82nS6B40j975,Robot95,Robot95,60,mexican hip hop;latin hip hop,2,trap
5LXWGcBr4mojJnf51Beuf6,Saga WhiteBlack,Saga WhiteBlack,36,,1,
6iyPY9ZvEGeB5mswBjwwNi,Alexis,Alexis,41,hi-nrg,4,
4kh6gKONPBfkCCd818b1PS,Daniel Vazquez,Daniel Vazquez,37,corrido;corridos bélicos;electro corridos;dembow belico;sierreño,5,corridos;dembow
4hH0kU21cZ8vbWNuRhXk7v,Tito Flow,Tito Flow,43,,0,
1RBzGO6Nm3uyhUSxP7EDWO,KEVIN ROLDAN,KEVIN ROLDAN,71,reggaeton;trap latino;urbano latino,4,reggaeton;trap
2dHbjVgpO3NvzY8D7yZvji,Donaty,Donaty,58,dembow,4,dembow
1QbKnLuatJMdjY8dFx7Nru,Nesty La Mente Maestra,Nesty La Mente Maestra,39,,0,
0ONc371uQqOdKkCwsrcp9Z,Clutchill,Clutchill,41,hyperpop,8,hyperpop
3CjPghA9sowRwFGSrU038J,Junkie Kid,Junkie Kid,56,hard techno;big room,1,electronic
43QAcxJuLK8pBo8yKn2Vgz,Juanillo Diaz,Juanillo Diaz,26,corridos tumbados;corrido,2,corridos
3PpJbrAbphauEun8Xf9tD2,Theodora,Theodora,77,shatta;french rap,8,
7pESOE4dEq8Yk4OKlJa3pS,Panter Bélico,Panter Bélico,70,corrido;corridos bélicos;corridos tumbados;banda;sierreño,2,corridos;banda
6VcsqZOR5AtEOGeAtmutCZ,Esau Ortiz,Esau Ortiz,65,electro corridos;dembow belico;corrido;corridos tumbados,2,corridos;dembow
2e4nwiX8ZCU09LGLOpeqTH,Laura Pausini,Laura Pausini,75,latin pop,9,latin
0tR60pwxQ5WKjPxQcKoCQ7,Messiah,Messiah,61,trap latino;dembow,0,trap;dembow
5D7x9esAF6twPxuOqSMkeO,Justin Morales,Justin Morales,51,corridos tumbados;corrido;corridos bélicos,2,corridos
1X6cBGnXpEpN7CmflLKmLV,Kizz Daniel,Kizz Daniel,70,afrobeats;afrobeat;afropop;afropiano;hiplife;afro r&b,6,afro
14CVFYbyTHSbffeB0iyoDI,Carlos Torres,Carlos Torres,19,corridos tumbados;corrido,2,corridos
7KqZWDfO2BUR5ijW9CBWPe,Chalko,Chalko,29,,0,
20qISvAhX20dpIbOOzGK3q,Nas,Nas,75,old school hip hop;east coast hip hop;hip hop,4,hip hop
5kCv5opFav2P7nPl8FiEQx,Conep,Conep,54,trap latino,3,trap
0TC8XvQTSQMh4beW43FsAH,Austin San,Austin San,51,,0,
0wTR1DXxJ3Ok60O4K4U9WT,Mir Nicolas,Mir Nicolas,47,boom bap,1,hip hop
4r63FhuTkUYltbVAg5TQnk,DaBaby,DaBaby,79,,3,
2cPqdH7XMvwaBJEVjheH8g,Jay Wheeler,Jay Wheeler,77,reggaeton,0,reggaeton
16Juw2gfa9IxEL3Vu69cH7,Yaga & Mackie,Yaga & Mackie,63,reggaeton,0,reggaeton
4zOhMWD0LoBe2nP7s9cHhX,Joyce Santana,Joyce Santana,56,trap latino;urbano latino,10,trap
0Yg29FX1M4ayqjXs0ttZFq,Young Cister,Young Cister,74,chilean trap;reggaeton chileno;chilean mambo,1,trap;reggaeton
1E7XNYAEwSLSAiLDYRMs1G,Albert Hype,Albert Hype,27,,1,
4UhDECNxyqKv0Cn0sua1MC,CARABIN3,CARABIN3,67,,3,
0VRj0yCOv2FXJNP47XQnx5,Quavo,Quavo,79,,3,
6ubJLRTVzomuWIScbguoSY,Grupo Diez 4tro,Grupo Diez 4tro,50,corridos tumbados;corrido;corridos bélicos;sad sierreño;sierreño;música mexicana,2,corridos;banda
1UjxAZqzphB1tsMb1aWBj0,Omega,Omega,65,mambo;merengue,6,mambo;merengue
46JHFFEjLKbXhMQsU5vSGm,Nito Mestre,Nito Mestre,34,argentine rock;nueva trova;trova,1,
11YLRSsZA3YVuQQtHXKTlz,Rafa Pabön,Rafa Pabön,66,reggaeton,4,reggaeton
7fT2Me47PQ8T7954PKrcwR,Bhavi,Bhavi,68,argentine trap;trap,1,trap
4e5oZygHeeRoTXc00gYWiu,Danny Towers,Danny Towers,52,,0,
1FNMaRFSwlbHQnloS3QO1X,Eddy Goyen,Eddy Goyen,18,,12,
62U9TXZx2SxvIoxXHtHlzR,Mexicano,Mexicano,35,latin hip hop,0,trap
2281RSmb2cN6knnt0Iarb2,Leo Rizzi,Leo Rizzi,62,,8,
0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,SAINt JHN,67,,4,
3CDoRporvSjdzTrm99a3gi,LUDMILLA,LUDMILLA,75,pagode;brazilian pop;funk pop;brazilian funk;pagode baiano;funk carioca,1,pop;funk brasileiro
7cd0OMsXCsilwM1gwmJ5dF,Robbie Meza,Robbie Meza,11,,1,
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Ed Sheeran,91,soft pop,1,pop
1FEYq0PPuI50GJRqKKPT6w,Leandro Ríos,Leandro Ríos,56,norteño;banda;grupera;cumbia norteña;norteño-sax,13,banda
5DMTLrpmTZO8GLDZ5Je1yT,Speedy,Speedy,31,soca;bassline;calypso,4,
4zTS87j9J5bBv0R9AEzeC7,Fend,Fend,46,electro corridos;dembow belico;corrido;corridos tumbados,5,corridos;dembow
2R7uy52biUCTdDH0OctTPU,Ed Maverick,Ed Maverick,38,sad sierreño;corridos tumbados,2,corridos
6UhGN5pVzgbBYjpqkxKM5F,lil joujou,lil joujou,39,trap latino;urbano latino,10,trap
1yPvnL2XGGehNiOGWzcAAG,Dan Sanchez,Dan Sanchez,63,corridos tumbados;corrido;electro corridos;corridos bélicos;dembow belico,2,corridos;dembow
2SNfNJDsahTSVFwgxposF5,Soge Culebra,Soge Culebra,59,,4,
7cxq5jTv6N3KjPehEhnlXG,Alonso Ortiz,Alonso Ortiz,48,corridos tumbados;corrido;corridos bélicos,5,corridos
4GZOqR1Cx6YeBN2Lmv0B1e,Victor Garcia,Victor Garcia,57,grupera;banda;norteño,12,banda
5SWXhtigdFs6Q9Wqri5ROo,Sintapia,Sintapia,49,electro corridos;dembow belico;corridos tumbados;corrido,2,corridos;dembow
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,Dua Lipa,88,pop,4,pop
7aG8YUI5alfF2pi0n5Cg5H,Kris Floyd,Kris Floyd,54,trap latino,10,trap
1NejZ771d4oSoEcD6qBAIA,Nueva Era,Nueva Era,37,corridos tumbados;corrido,2,corridos
68w2t0wbrGnxSIUHzWs5bt,Lito Kirino,Lito Kirino,57,trap latino;trap;dembow,3,trap;dembow
43DTA4Ai9jSFpLjOxOKXJW,Chuy Cuadras,Chuy Cuadras,23,corridos bélicos;corrido;corridos tumbados,2,corridos
